Zip,Airport
48362,KPTK
75956,KJAS
48360,KPTK
75959,KAQV
75938,KJAS
36370,KDHN
75939,KLFK
36373,KBIJ
48359,KPTK
36374,KHEY
36375,KOZR
48357,KPTK
36376,KDHN
48356,KPTK
61310,KSQI
61311,KPNT
61312,KVYS
61313,KPNT
61314,KVYS
61315,N/A
61316,N/A
61317,N/A
61318,KRPJ
75941,KLFK
48353,KOZW
75943,KOCH
75944,KOCH
48350,KPTK
75946,KOCH
75948,KAQV
24539,KDAN
48506,KFNT
24538,KLYH
48505,KFNT
48504,KFNT
48503,KFNT
48502,KFNT
12550,KSWF
97479,KRBG
24531,KDAN
97476,KOTH
24530,KDAN
97478,KEUG
97477,KEUG
24534,KHNZ
48509,KFNT
97471,KRBG
24536,KLYH
48507,KFNT
97473,KOTH
36528,KCQF
36529,KMOB
97470,KRBG
12553,KSWF
36521,KMOB
36522,KMOB
36523,KCQF
36524,KDYA
36525,KBFM
36526,KCQF
36527,KBFM
24549,KDAN
97469,KRBG
12561,KPOU
97465,KOTH
24541,KDAN
97467,KOTH
97466,KOTH
97461,KEUG
97463,KEUG
97462,KRBG
36518,KMOB
24540,KDAN
12564,KDXR
12565,N/A
36511,KJKA
12563,KDXR
12569,KPOU
12566,KMGJ
12567,KPOU
24517,KLYH
97498,KJNW
97497,KSXT
97499,KRBG
97493,KOTH
97496,KRBG
97495,KRBG
97490,KEUG
36507,KBFM
97492,KEUG
12538,KPOU
36509,KPQL
12531,KDXR
36502,KNSE
12533,KPOU
12534,KPSF
36505,KMOB
24528,KLYH
24527,KDAN
24529,KHNZ
24520,KDAN
97487,KEUG
97486,N/A
24522,KLYH
97489,KEUG
24521,KLYH
97488,KEUG
24523,KLYH
24526,KLYH
97484,KRBG
12548,KPOU
97481,KRBG
12549,KMGJ
97480,KEUG
12542,KPOU
12543,KMGJ
12540,KPOU
12546,KPOU
12547,KPOU
12545,KPOU
12517,KPSF
12518,KSWF
12515,KPOU
12516,KPSF
12513,KPSF
12514,KPOU
24502,KLYH
24501,KLYH
24504,KLYH
24503,KLYH
12528,KPOU
12529,KPSF
12526,KPOU
12520,KSWF
12521,KPSF
12524,KPOU
12525,KSWF
12522,KPOU
12523,KPOU
12507,N/A
12508,KSWF
12502,KPOU
12503,KPSF
12501,KPOU
36480,KGZH
36481,KGZH
36482,KGZH
36483,K0J4
48469,KBAX
48468,KP58
61440,KMQB
48467,KP58
61441,KMQB
48466,KD95
61442,KMUT
61443,KMLI
61447,KGBG
61448,KGBG
61449,KGBG
48465,KBAX
48464,KD95
48463,KD95
48462,KPTK
48461,KD95
48460,KRNP
73439,KDUA
73438,K1F0
36471,KGZH
73437,K1F0
48458,KFNT
61450,KBRL
36473,KGZH
48457,KFNT
61451,KPIA
36474,K79J
48456,KBAX
61452,KMQB
73434,KPVJ
36475,KGZH
48455,KD95
61453,KGBG
73433,KPVJ
61454,KBRL
73432,KAQR
61455,KMQB
73430,KGLE
61458,KGBG
61459,KMQB
48454,KD95
36477,K0J4
48453,KD95
48451,KFNT
48450,KPHN
12490,N/A
12491,KPOU
97417,KRBG
48449,KFNT
73449,KDUA
36460,KGZH
61460,KBRL
73448,K1F0
97419,KEUG
12494,KPOU
73447,KADM
97414,KOTH
12495,KPOU
48446,KD95
61462,KGBG
73446,KADM
97413,KEUG
12492,KMSV
48445,KBAX
97416,KRBG
48444,KD95
73444,KPVJ
97415,KBOK
61465,KMLI
73443,K1F0
97410,KSXT
24476,N/A
73442,KDUC
61467,KGBG
97412,KEUG
73441,N/A
24477,KSHD
73440,K1F0
97411,KOTH
61469,KBRL
24479,KSHD
24472,KSHD
24471,KSHD
24474,N/A
24473,KHSP
12498,KPOU
48442,KPTK
12496,KALB
36467,K79J
48441,KP58
48439,KFNT
48438,KFNT
61470,KMQB
48437,KFNT
73459,KGLE
97408,KEUG
61471,N/A
48436,KFNT
61472,KGBG
73458,KADM
97403,KEUG
36451,KGZH
48435,KD95
61473,KMQB
97402,KEUG
61474,KGBG
